assunto,conteudo,is_phishing
Nota fiscal da sua compra,"Prezados, Seguem anexadas as atas da reunião de ontem.",0
URGENTE: Verifique sua conta agora,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Nota fiscal da sua compra,O relatório financeiro do último trimestre está disponível para consulta.,0
Confirme seus dados bancários,Temos um presente especial para você. Acesse agora: http://scam.com,1
Reunião agendada para amanhã,"Prezados, Seguem anexadas as atas da reunião de ontem.",0
Sua conta será suspensa em 24h,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Relatório financeiro disponível,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
Confirme seus dados bancários,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Nota fiscal da sua compra,Você está convidado para nosso evento anual de networking. Confirme sua presença.,0
Parabéns! Você ganhou um prêmio,Temos um presente especial para você. Acesse agora: http://scam.com,1
Reunião agendada para amanhã,O relatório financeiro do último trimestre está disponível para consulta.,0
URGENTE: Verifique sua conta agora,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Atualização da política da empresa,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
Alerta: Atividade suspeita detectada,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Relatório financeiro disponível,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
Parabéns! Você ganhou um prêmio,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Nota fiscal da sua compra,"Prezados, Seguem anexadas as atas da reunião de ontem.",0
Parabéns! Você ganhou um prêmio,Sua conta foi comprometida. Clique aqui para verificar: http://link-suspeito.com,1
Relatório financeiro disponível,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
Confirme seus dados bancários,Sua conta foi comprometida. Clique aqui para verificar: http://link-suspeito.com,1
Convite para evento corporativo,"Prezados, Seguem anexadas as atas da reunião de ontem.",0
Sua conta será suspensa em 24h,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Reunião agendada para amanhã,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
Alerta: Atividade suspeita detectada,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Nota fiscal da sua compra,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
URGENTE: Verifique sua conta agora,Sua conta foi comprometida. Clique aqui para verificar: http://link-suspeito.com,1
Nota fiscal da sua compra,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
Confirme seus dados bancários,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Nota fiscal da sua compra,O relatório financeiro do último trimestre está disponível para consulta.,0
Parabéns! Você ganhou um prêmio,Confirme seus detalhes bancários para evitar bloqueio da conta: http://fraude.com,1
Nota fiscal da sua compra,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
URGENTE: Verifique sua conta agora,Temos um presente especial para você. Acesse agora: http://scam.com,1
Nota fiscal da sua compra,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
URGENTE: Verifique sua conta agora,Temos um presente especial para você. Acesse agora: http://scam.com,1
Atualização da política da empresa,Você está convidado para nosso evento anual de networking. Confirme sua presença.,0
Alerta: Atividade suspeita detectada,Sua conta foi comprometida. Clique aqui para verificar: http://link-suspeito.com,1
Nota fiscal da sua compra,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
Parabéns! Você ganhou um prêmio,Temos um presente especial para você. Acesse agora: http://scam.com,1
Reunião agendada para amanhã,O relatório financeiro do último trimestre está disponível para consulta.,0
Confirme seus dados bancários,Temos um presente especial para você. Acesse agora: http://scam.com,1
Convite para evento corporativo,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
Confirme seus dados bancários,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Atualização da política da empresa,O relatório financeiro do último trimestre está disponível para consulta.,0
Parabéns! Você ganhou um prêmio,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Convite para evento corporativo,Você está convidado para nosso evento anual de networking. Confirme sua presença.,0
Sua conta será suspensa em 24h,Temos um presente especial para você. Acesse agora: http://scam.com,1
Atualização da política da empresa,A empresa revisou sua política de privacidade. Leia os detalhes no documento anexo.,0
URGENTE: Verifique sua conta agora,Você ganhou R$ 10.000! Resgate seu prêmio agora: http://golpe.com.br,1
Convite para evento corporativo,O relatório financeiro do último trimestre está disponível para consulta.,0
URGENTE: Verifique sua conta agora,Sua conta foi comprometida. Clique aqui para verificar: http://link-suspeito.com,1
Convite para evento corporativo,Seu pedido foi processado com sucesso. Em anexo está sua nota fiscal.,0
Sua conta será suspensa em 24h,Detectamos uma tentativa de login suspeita. Atualize seus dados aqui: http://falso-site.com,1
Atualização da política da empresa,Você está convidado para nosso evento anual de networking. Confirme sua presença.,0
